Timestamp,Bay,Slot,Customer Name,Code Used
2026-06-01 09:49:00,Staff,2,User 1,staff-protected
2026-06-01 10:04:00,Staff,2,User 1,staff-protected
2026-06-01 10:20:00,Staff,2,User 1,staff-protected
2026-06-01 10:35:00,Staff,2,User 1,staff-protected
2026-06-01 10:50:00,Staff,2,User 1,staff-protected
2026-06-01 11:06:00,Staff,2,User 1,staff-protected
2026-06-01 11:22:00,Staff,2,User 1,staff-protected
2026-06-01 11:38:00,Staff,2,User 1,staff-protected
2026-06-01 11:53:00,Staff,2,User 1,staff-protected
2026-06-01 12:09:00,Staff,2,User 1,staff-protected
2026-06-01 12:24:00,Staff,2,User 1,staff-protected
2026-06-01 12:39:00,Staff,2,User 1,staff-protected
2026-06-01 12:54:00,Staff,2,User 1,staff-protected
2026-06-01 13:09:00,Staff,2,User 1,staff-protected
2026-06-01 13:25:00,Staff,2,User 1,staff-protected
2026-06-01 13:41:00,Staff,2,User 1,staff-protected
2026-06-01 13:57:00,Staff,2,User 1,staff-protected
2026-06-01 14:13:00,Staff,2,User 1,staff-protected
2026-06-01 14:29:00,Staff,2,User 1,staff-protected
2026-06-01 14:44:00,Staff,2,User 1,staff-protected
2026-06-01 15:00:00,Staff,2,User 1,staff-protected
2026-06-01 15:16:00,Staff,2,User 1,staff-protected
2026-06-01 15:32:00,Staff,2,User 1,staff-protected
2026-06-01 15:47:00,Staff,2,User 1,staff-protected
2026-06-01 16:03:00,Staff,2,User 1,staff-protected
2026-06-01 16:19:00,Staff,2,User 1,staff-protected
2026-06-01 16:34:00,Staff,2,User 1,staff-protected
2026-06-01 16:50:00,Staff,2,User 1,staff-protected
2026-06-01 17:06:00,Staff,2,User 1,staff-protected
2026-06-01 17:21:00,Staff,2,User 1,staff-protected
2026-06-01 17:37:00,Staff,2,User 1,staff-protected
2026-06-01 17:53:00,Staff,2,User 1,staff-protected
2026-06-01 18:08:00,Staff,2,User 1,staff-protected
2026-06-01 18:23:00,Staff,2,User 1,staff-protected
2026-06-01 18:38:00,Staff,2,User 1,staff-protected
2026-06-01 18:54:00,Staff,2,User 1,staff-protected
2026-06-01 19:10:00,Staff,2,User 1,staff-protected
2026-06-01 19:26:00,Staff,2,User 1,staff-protected
2026-06-01 19:41:00,Staff,2,User 1,staff-protected
2026-06-01 19:57:00,Staff,2,User 1,staff-protected
2026-06-01 20:13:00,Staff,2,User 1,staff-protected
2026-06-01 20:29:00,Staff,2,User 1,staff-protected
2026-06-01 20:45:00,Staff,2,User 1,staff-protected
2026-06-01 21:00:00,Staff,2,User 1,staff-protected
2026-06-01 21:15:00,Staff,2,User 1,staff-protected
2026-06-01 21:31:00,Staff,2,User 1,staff-protected
2026-06-01 21:47:00,Staff,2,User 1,staff-protected
2026-06-01 22:02:00,Staff,2,User 1,staff-protected
2026-06-01 22:18:00,Staff,2,User 1,staff-protected
2026-06-01 22:34:00,Staff,2,User 1,staff-protected
2026-06-01 22:50:00,Staff,2,User 1,staff-protected
2026-06-01 23:06:00,Staff,2,User 1,staff-protected
2026-06-01 23:21:00,Staff,2,User 1,staff-protected
2026-06-01 23:37:00,Staff,2,User 1,staff-protected
2026-06-01 23:53:00,Staff,2,User 1,staff-protected
2026-06-02 00:09:00,Staff,2,User 1,staff-protected
2026-06-02 00:24:00,Staff,2,User 1,staff-protected
2026-06-02 00:40:00,Staff,2,User 1,staff-protected
2026-06-02 00:55:00,Staff,2,User 1,staff-protected
2026-06-02 01:10:00,Staff,2,User 1,staff-protected
2026-06-02 01:26:00,Staff,2,User 1,staff-protected
2026-06-02 01:42:00,Staff,2,User 1,staff-protected
2026-06-02 01:58:00,Staff,2,User 1,staff-protected
2026-06-02 02:13:00,Staff,2,User 1,staff-protected
2026-06-02 02:28:00,Staff,2,User 1,staff-protected
2026-06-02 02:43:00,Staff,2,User 1,staff-protected
2026-06-02 02:58:00,Staff,2,User 1,staff-protected
2026-06-02 03:14:00,Staff,2,User 1,staff-protected
2026-06-02 03:29:00,Staff,2,User 1,staff-protected
2026-06-02 03:45:00,Staff,2,User 1,staff-protected
2026-06-02 04:00:00,Staff,2,User 1,staff-protected
2026-06-02 04:16:00,Staff,2,User 1,staff-protected
2026-06-02 04:31:00,Staff,2,User 1,staff-protected
2026-06-02 04:47:00,Staff,2,User 1,staff-protected
2026-06-02 05:03:00,Staff,2,User 1,staff-protected
2026-06-02 05:19:00,Staff,2,User 1,staff-protected
2026-06-02 05:35:00,Staff,2,User 1,staff-protected
2026-06-02 05:51:00,Staff,2,User 1,staff-protected
2026-06-02 06:07:00,Staff,2,User 1,staff-protected
2026-06-02 06:23:00,Staff,2,User 1,staff-protected
2026-06-02 06:39:00,Staff,2,User 1,staff-protected
2026-06-02 06:54:00,Staff,2,User 1,staff-protected
2026-06-02 07:10:00,Staff,2,User 1,staff-protected
2026-06-02 07:25:00,Staff,2,User 1,staff-protected
2026-06-02 07:40:00,Staff,2,User 1,staff-protected
2026-06-02 07:56:00,Staff,2,User 1,staff-protected
2026-06-02 08:11:00,Staff,2,User 1,staff-protected
2026-06-02 08:27:00,Staff,2,User 1,staff-protected
2026-06-02 08:42:00,Staff,2,User 1,staff-protected
2026-06-02 08:58:00,Staff,2,User 1,staff-protected
2026-06-02 09:13:00,Staff,2,User 1,staff-protected
2026-06-02 09:29:00,Staff,2,User 1,staff-protected
2026-06-02 09:44:00,Staff,2,User 1,staff-protected
2026-06-02 09:59:00,Staff,2,User 1,staff-protected
2026-06-02 10:15:00,Staff,2,User 1,staff-protected
2026-06-02 10:31:00,Staff,2,User 1,staff-protected
2026-06-02 10:47:00,Staff,2,User 1,staff-protected
2026-06-02 11:03:00,Staff,2,User 1,staff-protected
2026-06-02 11:19:00,Staff,2,User 1,staff-protected
2026-06-02 11:34:00,Staff,2,User 1,staff-protected
2026-06-02 11:50:00,Staff,2,User 1,staff-protected
2026-06-02 12:06:00,Staff,2,User 1,staff-protected
2026-06-02 12:21:00,Staff,2,User 1,staff-protected
2026-06-02 12:37:00,Staff,2,User 1,staff-protected
2026-06-02 12:52:00,Staff,2,User 1,staff-protected
2026-06-02 13:08:00,Staff,2,User 1,staff-protected
2026-06-02 13:24:00,Staff,2,User 1,staff-protected
2026-06-02 13:40:00,Staff,2,User 1,staff-protected
2026-06-02 13:56:00,Staff,2,User 1,staff-protected
2026-06-02 14:11:00,Staff,2,User 1,staff-protected
2026-06-02 14:26:00,Staff,2,User 1,staff-protected
2026-06-02 14:42:00,Staff,2,User 1,staff-protected
2026-06-02 14:57:00,Staff,2,User 1,staff-protected
2026-06-02 15:12:00,Staff,2,User 1,staff-protected
2026-06-02 15:28:00,Staff,2,User 1,staff-protected
2026-06-02 15:43:00,Staff,2,User 1,staff-protected
2026-06-02 15:59:00,Staff,2,User 1,staff-protected
2026-06-02 16:14:00,Staff,2,User 1,staff-protected
2026-06-02 16:30:00,Staff,2,User 1,staff-protected
2026-06-02 16:46:00,Staff,2,User 1,staff-protected
2026-06-02 17:01:00,Staff,2,User 1,staff-protected
2026-06-02 17:16:00,Staff,2,User 1,staff-protected
2026-06-02 17:32:00,Staff,2,User 1,staff-protected
2026-06-02 17:47:00,Staff,2,User 1,staff-protected
2026-06-02 18:03:00,Staff,2,User 1,staff-protected
2026-06-02 18:19:00,Staff,2,User 1,staff-protected
2026-06-02 18:35:00,Staff,2,User 1,staff-protected
2026-06-02 18:50:00,Staff,2,User 1,staff-protected
2026-06-02 19:06:00,Staff,2,User 1,staff-protected
2026-06-02 19:21:00,Staff,2,User 1,staff-protected
2026-06-02 19:37:00,Staff,2,User 1,staff-protected
2026-06-02 19:52:00,Staff,2,User 1,staff-protected
2026-06-02 20:07:00,Staff,2,User 1,staff-protected
2026-06-02 20:22:00,Staff,2,User 1,staff-protected
2026-06-02 20:38:00,Staff,2,User 1,staff-protected
2026-06-02 20:53:00,Staff,2,User 1,staff-protected
2026-06-02 21:09:00,Staff,2,User 1,staff-protected
2026-06-02 21:24:00,Staff,2,User 1,staff-protected
2026-06-02 21:39:00,Staff,2,User 1,staff-protected
2026-06-02 21:55:00,Staff,2,User 1,staff-protected
2026-06-02 22:11:00,Staff,2,User 1,staff-protected
2026-06-02 22:27:00,Staff,2,User 1,staff-protected
2026-06-02 22:42:00,Staff,2,User 1,staff-protected
2026-06-02 22:58:00,Staff,2,User 1,staff-protected
2026-06-02 23:14:00,Staff,2,User 1,staff-protected
2026-06-02 23:30:00,Staff,2,User 1,staff-protected
